Number,Roman_Numeral,Yoruba
1,I,Okan
2,II,Meji
3,III,Meta
4,IV,Merin
5,V,Aarun
6,VI,Mefa
7,VII,Meje
8,VIII,Mejo
9,IX,Mesan
10,X,Eewa
11,XI,Okanla
12,XII,Ejila
13,XIII,Etala
14,XIV,Erinla
15,XV,Edogun
16,XVI,Erindinlogun
17,XVII,Etadinlogun
18,XVIII,Ejindinlogun
19,XIX,Okandinlogun
20,XX,Ogun
21,XXI,Okanlelogun
22,XXII,Ejilelogun
23,XXIII,Etalelogun
24,XXIV,Erinlelogun
25,XXV,Edogbon
26,XXVI,Erindinlogbon
27,XXVII,Etadinlogbon
28,XXVIII,Ejidinlogbon
29,XXIX,Okandinlogbon
30,XXX,Ogbon
31,XXXI,Okanlelogbon
32,XXXII,Ejilelogbon
33,XXXIII,Etalelogbon
34,XXXIV,Erinlelogbon
35,XXXV,Arundinlogoji
36,XXXVI,Erindinlogoji
37,XXXVII,Etadinlogoji
38,XXXVIII,Ejidinlogoji
39,XXXIX,Okandinlogoji
40,XL,Ogoji
41,XLI,Okanlelogoji
42,XLII,Ejilelogoji
43,XLIII,Etalelogoji
44,XLIV,Erinlelogoji
45,XLV,Arundinladota
46,XLVI,Erindinladota
47,XLVII,Etadinladota
48,XLVIII,Ejidinladota
49,XLIX,Okandinladota
50,L,Adota
51,LI,Okanleladota
52,LII,Ejileladota
53,LIII,Etaleladota
54,LIV,Erinleladota
55,LV,Arundinlogota
56,LVI,Erindinlogota
57,LVII,Etadinlogota
58,LVIII,Ejidinlogota
59,LIX,Okandinlogota
60,LX,Ogota
61,LXI,Okanlelogota
62,LXII,Ejilelogota
63,LXIII,Etalelogota
64,LXIV,Erinlelogota
65,LXV,Arundiladorin
66,LXVI,Erindiladorin
67,LXVII,Etadiladorin
68,LXVIII,Ejidiladorin
69,LXIX,Okandiladorin
70,LXX,Adorin
71,LXXI,Okanlelad orin
72,LXXII,Ejilelad orin
73,LXXIII,Etaleladorin
74,LXXIV,Erinlelad orin
75,LXXV,Arundilogorin
76,LXVI,Erindilogorin
77,LXXVII,Etadilogorin
78,LXXVIII,Ejidilogorin
79,LXXIX,Okandilogorin
80,LXXX,Ogorin
81,LXXXI,Okanlelogorin
82,LXXXII,Ejilelogorin
83,LXXXIII,Etalelogorin
84,LXXXIV,Erinlelogorin
85,LXXXV,Arundiladorun
86,LXXXVI,Erindiladorun
87,LXXXVII,Etadiladorun
88,LXXXVIII,Ejidiladorun
89,LXXXIX,Okandiladorun
90,XC,Adorun
91,XCI,Okanlelad orun
92,XCII,Ejilelad orun
93,XCIII,Etaleladorun
94,XCIV,Erinlelad orun
95,XCV,Arundilogorun
96,XCVI,Erindilogorun
97,XCVII,Etadilogorun
98,XCVIII,Ejidilogorun
99,XCIX,Okandilogorun
100,C,Ogorun
101,CI,Okanlelogorun
102,CII,Ejilelogorun
103,CIII,Etalelogorun
104,CIV,Erinlelogorun
105,CV,Arundinalafa
106,CVI,Erindinalafa
107,CVII,Etadinlalafa
